ipeds_id,institution name,year,HD2019.State abbreviation,institution name,HD2019.City location of institution,HD2019.State abbreviation,HD2019.ZIP code,"DRVIC2019.Tuition and fees, 2018-19","DRVIC2019.Tuition and fees, 2019-20",HD2019.Institution size category,HD2019.State abbreviation,HD2019.Sector of institution,HD2019.Level of institution,HD2019.Control of institution,HD2019.Degree-granting status,HD2019.Historically Black College or University,HD2019.Tribal college,HD2019.Degree of urbanization (Urban-centric locale),DRVEF122019.12-month full-time equivalent enrollment: 2018-19
145497,Hebrew Theological College,2019,Illinois,Hebrew Theological College,Skokie,Illinois,60077,12920,13300,"Under 1,000",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,City: Small,127
145521,Highland Community College,2019,Illinois,Highland Community College,Freeport,Illinois,61032-9341,4167,4302,"1,000 - 4,999",Illinois,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,Town: Distant,1195
145558,Rosalind Franklin University of Medicine and Science,2019,Illinois,Rosalind Franklin University of Medicine and Science,North Chicago,Illinois,60064-3095,,,"1,000 - 4,999",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Suburb: Large,2319
145600,University of Illinois at Chicago,2019,Illinois,University of Illinois at Chicago,Chicago,Illinois,60607,13764,13874,"20,000 and above",Illinois,"Public, 4-year or above",Four or more years,Public,Degree-granting,No,No,City: Large,32004
145619,Benedictine University,2019,Illinois,Benedictine University,Lisle,Illinois,60532-0900,34290,34290,"1,000 - 4,999",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Suburb: Large,4593
145628,Illinois College of Optometry,2019,Illinois,Illinois College of Optometry,Chicago,Illinois,60616-3878,,,"Under 1,000",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,City: Large,602
145637,University of Illinois at Urbana-Champaign,2019,Illinois,University of Illinois at Urbana-Champaign,Champaign,Illinois,61820-5711,15094,15122,"20,000 and above",Illinois,"Public, 4-year or above",Four or more years,Public,Degree-granting,No,No,City: Small,53117
145646,Illinois Wesleyan University,2019,Illinois,Illinois Wesleyan University,Bloomington,Illinois,61702-2900,47636,50028,"1,000 - 4,999",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,City: Small,1690
145682,Illinois Central College,2019,Illinois,Illinois Central College,East Peoria,Illinois,61635-0001,4500,4500,"5,000 - 9,999",Illinois,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,Suburb: Large,5336
145691,Illinois College,2019,Illinois,Illinois College,Jacksonville,Illinois,62650-2299,33090,33740,"1,000 - 4,999",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Town: Distant,1044
145707,Olney Central College,2019,Illinois,Olney Central College,Olney,Illinois,62450,3970,4098,"1,000 - 4,999",Illinois,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,Town: Remote,970
145725,Illinois Institute of Technology,2019,Illinois,Illinois Institute of Technology,Chicago,Illinois,60616,47646,49280,"5,000 - 9,999",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,City: Large,6477
145813,Illinois State University,2019,Illinois,Illinois State University,Normal,Illinois,61790-1000,14516,14832,"20,000 and above",Illinois,"Public, 4-year or above",Four or more years,Public,Degree-granting,No,No,Suburb: Midsize,18919
145831,Illinois Valley Community College,2019,Illinois,Illinois Valley Community College,Oglesby,Illinois,61348-9692,4000,4000,"1,000 - 4,999",Illinois,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,Rural: Fringe,1914
145886,Institute for Clinical Social Work,2019,Illinois,Institute for Clinical Social Work,Chicago,Illinois,60605-1229,,,"Under 1,000",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,City: Large,61
146205,John A Logan College,2019,Illinois,John A Logan College,Carterville,Illinois,62918-2500,3766,3766,"1,000 - 4,999",Illinois,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,Suburb: Small,2877
146241,The John Marshall Law School,2019,Illinois,The John Marshall Law School,Chicago,Illinois,60604,,,"1,000 - 4,999",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,City: Large,1056
146278,John Wood Community College,2019,Illinois,John Wood Community College,Quincy,Illinois,62305-8736,4890,4890,"1,000 - 4,999",Illinois,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,Rural: Fringe,1389
146296,Joliet Junior College,2019,Illinois,Joliet Junior College,Joliet,Illinois,60431-8938,4380,4440,"10,000 - 19,999",Illinois,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,Suburb: Large,9225
146339,Judson University,2019,Illinois,Judson University,Elgin,Illinois,60123-1498,29860,29870,"1,000 - 4,999",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,City: Midsize,1278
146348,Kankakee Community College,2019,Illinois,Kankakee Community College,Kankakee,Illinois,60901,4620,4830,"1,000 - 4,999",Illinois,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,City: Small,1753
146366,Kaskaskia College,2019,Illinois,Kaskaskia College,Centralia,Illinois,62801,4470,4560,"1,000 - 4,999",Illinois,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,Rural: Fringe,2299
146418,Kishwaukee College,2019,Illinois,Kishwaukee College,Malta,Illinois,60150-9699,4800,4890,"1,000 - 4,999",Illinois,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,Rural: Fringe,2102
146427,Knox College,2019,Illinois,Knox College,Galesburg,Illinois,61401-9999,46554,48168,"1,000 - 4,999",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Town: Distant,1308
146454,Educators of Beauty College of Cosmetology-Peru,2019,Illinois,Educators of Beauty College of Cosmetology-Peru,PERU,Illinois,61354-1450,,,"Under 1,000",Illinois,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, primarily postsecondary",No,No,Town: Distant,63
146472,College of Lake County,2019,Illinois,College of Lake County,Grayslake,Illinois,60030-1198,3948,4032,"10,000 - 19,999",Illinois,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,Suburb: Large,8784
146481,Lake Forest College,2019,Illinois,Lake Forest College,Lake Forest,Illinois,60045-2399,47064,48424,"1,000 - 4,999",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Suburb: Large,1630
146490,Lake Forest Graduate School of Management,2019,Illinois,Lake Forest Graduate School of Management,Lake Forest,Illinois,60045,,,"Under 1,000",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Suburb: Large,250
146506,Lake Land College,2019,Illinois,Lake Land College,Mattoon,Illinois,61938,4110,4130,"1,000 - 4,999",Illinois,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,Town: Distant,5776
146533,Lakeview College of Nursing,2019,Illinois,Lakeview College of Nursing,Danville,Illinois,61832,,,"Under 1,000",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,City: Small,143
146603,Lewis and Clark Community College,2019,Illinois,Lewis and Clark Community College,Godfrey,Illinois,62035,4144,3552,"5,000 - 9,999",Illinois,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,Suburb: Small,3379
146612,Lewis University,2019,Illinois,Lewis University,Romeoville,Illinois,60446-2200,32450,33430,"5,000 - 9,999",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Suburb: Large,5732
146667,Lincoln Christian University,2019,Illinois,Lincoln Christian University,Lincoln,Illinois,62656-2111,13200,13590,"Under 1,000",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Town: Distant,554
146676,Lincoln College,2019,Illinois,Lincoln College,Lincoln,Illinois,62656,18600,19000,"1,000 - 4,999",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Town: Distant,876
146685,Lincoln Land Community College,2019,Illinois,Lincoln Land Community College,Springfield,Illinois,62794-9256,3372,3420,"5,000 - 9,999",Illinois,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,City: Midsize,4179
146700,Lincoln College of Technology-Melrose Park,2019,Illinois,Lincoln College of Technology-Melrose Park,Melrose Park,Illinois,60160-1605,,,"Under 1,000",Illinois,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,Degree-granting,No,No,Suburb: Large,805
146719,Loyola University Chicago,2019,Illinois,Loyola University Chicago,Chicago,Illinois,60660,44048,45543,"10,000 - 19,999",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,City: Large,15983
146728,Lutheran School of Theology at Chicago,2019,Illinois,Lutheran School of Theology at Chicago,Chicago,Illinois,60615-5134,,,"Under 1,000",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,City: Large,48
146755,Trinity College of Nursing & Health Sciences,2019,Illinois,Trinity College of Nursing & Health Sciences,Rock Island,Illinois,61201-5317,27106,26075,"Under 1,000",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,City: Small,170
146807,Steven Papageorge Hair Academy,2019,Illinois,Steven Papageorge Hair Academy,Chicago,Illinois,60657,,,"Under 1,000",Illinois,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, primarily postsecondary",No,No,City: Large,43
146816,MacCormac College,2019,Illinois,MacCormac College,Chicago,Illinois,60602-4405,12660,12700,"Under 1,000",Illinois,"Private not-for-profit, 2-year",At least 2 but less than 4 years,Private not-for-profit,Degree-granting,No,No,City: Large,292
146825,MacMurray College,2019,Illinois,MacMurray College,Jacksonville,Illinois,62650-2590,27710,28540,"Under 1,000",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Town: Distant,506
146977,McCormick Theological Seminary,2019,Illinois,McCormick Theological Seminary,Chicago,Illinois,60615,,,"Under 1,000",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,City: Large,110
147004,McHenry County College,2019,Illinois,McHenry County College,Crystal Lake,Illinois,60012-2761,3494,3584,"5,000 - 9,999",Illinois,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,Rural: Fringe,4268
147013,McKendree University,2019,Illinois,McKendree University,Lebanon,Illinois,62254-1291,30520,31640,"1,000 - 4,999",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Suburb: Large,2159
147031,Meadville Lombard Theological School,2019,Illinois,Meadville Lombard Theological School,Chicago,Illinois,60605,,,"Under 1,000",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,City: Large,105
147129,Methodist College,2019,Illinois,Methodist College,Peoria,Illinois,61615,20750,17560,"Under 1,000",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,City: Midsize,608
147165,Midstate College,2019,Illinois,Midstate College,Peoria,Illinois,61614-3595,,,Not applicable,Illinois,"Private for-profit, 4-year or above",Four or more years,Private for-profit,Degree-granting,No,No,City: Midsize,
147244,Millikin University,2019,Illinois,Millikin University,Decatur,Illinois,62522-2084,35002,37054,"1,000 - 4,999",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,City: Small,2191
147341,Monmouth College,2019,Illinois,Monmouth College,Monmouth,Illinois,61462-1998,37674,38990,"Under 1,000",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Town: Distant,935
